ticker,fiscal_quarter,eps_beat,next_quarter_estimated,next_quarter_actual
WFC,2016-Q2,1,1.02,1.03
WFC,2016-Q3,1,1.0,1.03
WFC,2016-Q4,1,0.97,1.0
WFC,2017-Q1,1,1.02,1.07
WFC,2017-Q2,0,1.04,1.04
WFC,2017-Q3,0,1.04,0.97
WFC,2017-Q4,1,1.07,1.12
WFC,2018-Q1,0,1.12,1.08
WFC,2018-Q2,0,1.17,1.13
WFC,2018-Q3,1,1.17,1.21
WFC,2018-Q4,1,1.08,1.2
WFC,2019-Q1,1,1.16,1.3
WFC,2019-Q2,0,1.15,0.92
WFC,2019-Q3,0,1.12,0.93
WFC,2019-Q4,0,0.22,0.01
WFC,2020-Q1,0,-0.16,-0.66
WFC,2020-Q2,1,0.47,0.56
WFC,2020-Q3,1,0.59,0.64
WFC,2020-Q4,1,0.69,1.05
WFC,2021-Q1,1,0.95,1.38
WFC,2021-Q2,1,1.03,1.17
WFC,2021-Q3,1,1.09,1.38
WFC,2021-Q4,1,0.81,0.88
WFC,2022-Q1,0,0.77,0.74
WFC,2022-Q2,1,1.09,1.3
WFC,2022-Q3,1,0.63,0.67
WFC,2022-Q4,1,1.15,1.23
WFC,2023-Q1,1,1.15,1.25
WFC,2023-Q2,1,1.25,1.39
WFC,2023-Q3,1,1.16,1.29
WFC,2023-Q4,1,1.1,1.26
WFC,2024-Q1,1,1.27,1.33
WFC,2024-Q2,1,1.27,1.52
WFC,2024-Q3,1,1.34,1.42
WFC,2024-Q4,1,1.23,1.27
WFC,2025-Q1,1,1.41,1.54
WFC,2025-Q2,1,1.55,1.73
WFC,2025-Q3,1,1.66,1.76
