Earnings Date,EPS Estimate,Reported EPS,fiscal_quarter_end,estimated_eps,actual_eps,fiscal_quarter,ticker
2012-01-19 21:00:00,0.75,0.78,2012-01-19,0.75,0.78,2012-Q1,MSFT
2012-04-19 20:00:00,0.58,0.6,2012-04-19,0.58,0.6,2012-Q2,MSFT
2012-07-19 20:00:00,0.13,-0.06,2012-07-19,0.13,-0.06,2012-Q3,MSFT
2012-10-18 20:00:00,0.56,0.53,2012-10-18,0.56,0.53,2012-Q4,MSFT
2013-01-24 21:00:00,0.75,0.76,2013-01-24,0.75,0.76,2013-Q1,MSFT
2013-04-18 20:00:00,0.68,0.72,2013-04-18,0.68,0.72,2013-Q2,MSFT
2013-07-18 20:00:00,0.75,0.59,2013-07-18,0.75,0.59,2013-Q3,MSFT
2013-10-24 20:00:00,0.53,0.62,2013-10-24,0.53,0.62,2013-Q4,MSFT
2014-01-23 21:00:00,0.68,0.78,2014-01-23,0.68,0.78,2014-Q1,MSFT
2014-04-24 20:00:00,0.63,0.68,2014-04-24,0.63,0.68,2014-Q2,MSFT
2014-07-22 20:00:00,0.6,0.55,2014-07-22,0.6,0.55,2014-Q3,MSFT
2014-10-23 20:00:00,0.48,0.54,2014-10-23,0.48,0.54,2014-Q4,MSFT
2015-01-26 21:00:00,0.71,0.71,2015-01-26,0.71,0.71,2015-Q1,MSFT
2015-04-23 20:00:00,0.51,0.61,2015-04-23,0.51,0.61,2015-Q2,MSFT
2015-07-21 20:00:00,-0.39,-0.4,2015-07-21,-0.39,-0.4,2015-Q3,MSFT
2015-10-22 20:00:00,0.41,0.57,2015-10-22,0.41,0.57,2015-Q4,MSFT
2016-01-28 21:00:00,0.53,0.62,2016-01-28,0.53,0.62,2016-Q1,MSFT
2016-04-21 20:00:00,0.51,0.47,2016-04-21,0.51,0.47,2016-Q2,MSFT
2016-07-19 20:00:00,0.45,0.39,2016-07-19,0.45,0.39,2016-Q3,MSFT
2016-10-20 20:00:00,0.52,0.6,2016-10-20,0.52,0.6,2016-Q4,MSFT
2017-01-26 21:00:00,0.64,0.67,2017-01-26,0.64,0.67,2017-Q1,MSFT
2017-04-27 20:00:00,0.58,0.61,2017-04-27,0.58,0.61,2017-Q2,MSFT
2017-07-20 20:00:00,0.58,0.83,2017-07-20,0.58,0.83,2017-Q3,MSFT
2017-10-26 20:00:00,0.69,0.84,2017-10-26,0.69,0.84,2017-Q4,MSFT
2018-01-31 21:00:00,0.87,-0.82,2018-01-31,0.87,-0.82,2018-Q1,MSFT
2018-04-26 20:00:00,0.85,0.95,2018-04-26,0.85,0.95,2018-Q2,MSFT
2018-07-19 20:00:00,1.08,1.14,2018-07-19,1.08,1.14,2018-Q3,MSFT
2018-10-24 20:00:00,0.97,1.14,2018-10-24,0.97,1.14,2018-Q4,MSFT
2019-01-30 21:00:00,1.1,1.08,2019-01-30,1.1,1.08,2019-Q1,MSFT
2019-04-24 20:00:00,1.0,1.14,2019-04-24,1.0,1.14,2019-Q2,MSFT
2019-07-18 20:00:00,1.21,1.71,2019-07-18,1.21,1.71,2019-Q3,MSFT
2019-10-23 20:00:00,1.24,1.38,2019-10-23,1.24,1.38,2019-Q4,MSFT
2020-01-29 21:00:00,1.32,1.51,2020-01-29,1.32,1.51,2020-Q1,MSFT
